Category;Title
false;Buy groceries
true;Check emails
false;Do laundry
true;Write report
false;Clean kitchen
true;Attend meeting
false;Feed the dog
true;Update resume
false;Vacuum floor
true;Prepare presentation
false;Water plants
true;Review budget
false;Take out trash
true;Schedule conference call
false;Organize closet
true;Update project status
false;Walk the dog
true;Prepare quarterly report
false;Clean bathroom
true;Team standup meeting
false;Grocery shopping
true;Client presentation
false;Home maintenance
true;Code review
false;Family dinner
true;Deadline meeting
false;Weekend cleaning
true;Performance review
false;Pet care
true;Project planning
false;Home organization
true;Stakeholder update
false;Personal errands
true;Technical documentation
false;Household chores
true;Budget analysis
false;Home improvement
true;Product demo
false;Personal time
true;Strategic planning
